street_name,street_type,street_quad
PRESTWICK ACRES,LN,SE
CHRISTIE ESTATE,GD,SW
ALYTH,RD,SE
ZOO,RD,NE
BRABOURNE,ME,SW
MAJOR STEWART,LN,SE
CITADEL ESTATES,LI,NW
DISCOVERY RIDGE,LI,SW
135,AV,SE
COACH RIDGE,BA,SW
DALBEATTIE,GR,NW
HIGHFIELD,CR,SE
9A,AV,NE
SIENNA,BA,SW
BAY VIEW,PL,SW
STONEY,TR,NW
VALPARAISO,PL,NW
FALWOOD,PL,NE
MARIPOSA,DR,NE
38A,AV,SE
SOUTHBOW,PL,SW
GATEFIELD,AV,SW
GLENBROOK,DR,SW
SPRING VALLEY,CL,SW
UNITY,PL,NW
PARKDALE,CR,NW
KINCORA,RI,NW
WESTON,PA,SW
HARVEST ROSE,PA,NE
TUSCANY SPRINGS,BA,NW
DOVERGLEN,CO,SE
EVANSBROOKE,PL,NW
BOWLAKE,PL,NW
BEDDINGTON,PL,NE
WESTON,WY,SW
CELTIC,RD,NW
194,AV,SW
SKYVIEW SHORES,CV,NE
HAWKVIEW MANOR,CO,NW
WAINWRIGHT,RD,SE
PANAMOUNT,BA,NW
SHAWNEE,ST,SW
SANTANA,MR,NW
NOLAN HILL,RI,NW
LONDON,ST,NW
HAMPSTEAD,PL,NW
MACDONALD,AV,SE
45,AV,SE
30,ST,NE
65,AV,SE
SUNSET,CV,SE
SAXON,PL,SW
HAWKSLOW,PL,NW
35,ST,NE
HAWKVIEW MANOR,BA,NW
42,ST,NW
RESEARCH,RD,NW
22,ST,NE
NEW BRIGHTON,VI,SE
BROOKPARK,BV,SW
ROSELAKE,ST,NW
SANDPIPER,CO,NW
HUNTINGTON PARK,PL,NW
RUNDLEWOOD,BA,NE
ROSSBURN,CR,SW
SKYVIEW RANCH,AV,NE
SHERWOOD,GR,NW
EDGEPARK,PL,NW
BELL,ST,NW
LAKE MICHIGAN,DR,SE
PATTON,CO,SW
BLACKTHORN,PL,NE
WILSHIRE,PL,SW
ASPENSHIRE,CL,SW
CHAPALA,HE,SE
COPPERSTONE,WY,SE
TUSCANY RAVINE,PT,NW
ERIN CROFT,GR,SE
CITYSCAPE,MT,NE
MCKENZIE TOWNE,AV,SE
BOWBANK,CR,NW
CHAPALINA,GV,SE
SIENNA HILLS,PL,SW
CURRIE,ST,SW
LAWSON,PL,SW
TARALAKE,LN,NE
SPRINGBANK,VW,SW
SUNDOWN,PL,SE
ARBOUR RIDGE,ME,NW
FALCONRIDGE,BV,NE
138,AV,SE
WOOD OAK,PL,SW
HAWKRIDGE,PL,NW
SKYVIEW,CL,NE
92,AV,SE
DOUGLAS GLEN,BA,SE
SAVANNA,PS,NE
SPRINGBANK,RI,SW
HAWKCLIFF,ME,NW
PANORAMA HILLS,LI,NW
MAIDSTONE,BA,NE
MILLCREST,CO,SW
TARALAKE,ME,NE
63,AV,NW
DEERCREST,PL,SE
SPRINGWOOD,PL,SW
HAWKLEY VALLEY,PL,NW
36A,ST,NW
81,ST,SE
TUSCANY SPRINGS,GD,NW
CHAPALA,BA,SE
SADDLELAND,CO,NE
DOUGLAS GLEN,ME,SE
DEER,PL,SE
EVERSYDE,ST,SW
BONITA,CR,NW
EDGEHILL,BA,NW
HUNTBOURNE,PL,NE
GAINSBOROUGH,GA,SW
EDGERIDGE,TC,NW
VISCOUNT,DR,NW
PARKRIDGE,HL,SE
WENTWORTH,PT,SW
NOLAN HILL,AV,NW
53B,ST,SE
29,AV,SE
NIVEN,RD,NW
CONFLUENCE,WY,SE
SKYVIEW SHORES,RI,NE
USHER,RD,NW
REDSTONE,PT,NE
LAKE SYLVAN,PL,SE
QUENTIN,AV,SW
52,AV,NE
VARMOOR,RD,NW
COPPERSTONE,ST,SE
SHERWOOD,PZ,NW
LINCOLN,DR,SW
AUBURN SOUND,TC,SE
MAYLAND,PL,NE
NEMISKAM,RD,NW
65,AV,NE
MERIDIAN,RD,SE
BOWDALE,CR,NW
ELVEDEN,PT,SW
QUESNAY WOOD,DR,SW
VARSITY,PL,NW
GLENVIEW,DR,SW
VARSITY ESTATES,CI,NW
PARKDALE,LN,NW
PANATELLA,HT,NW
ROSELAWN,PL,NW
HIDDEN CREEK,BA,NW
BELVEDERE,RD,SW
EDGEVALLEY,MR,NW
STRATHAM,BA,SW
WOODGREEN,DR,SW
MARBANK,PL,NE
VERCHERES,ST,SW
EVERWILLOW,CI,SW
BRENNER,PL,NW
ARBOUR LAKE,PL,NW
GLENDEER,CI,SE
GARRISON,SQ,SW
COVEBROOK,BA,NE
DALLYN,ST,NW
53,ST,SW
EDGEBROOK,ME,NW
PALISAN,PL,SW
BURBANK,CR,SE
DERMOT BALDWIN,WY,SE
VARMOOR,PL,NW
ROYAL,MR,NW
MCTAVISH,RD,NE
LAKE PLACID,PL,SE
HUNTERBOW,CR,NW
SILVERVIEW,PL,NW
LAKE WASA,GR,SE
ROSETREE,CR,NW
SUNMOUNT,GR,SE
CITYSCAPE,BA,NE
ROYAL BIRCH,BV,NW
ASPEN RIDGE,CV,SW
COVEBROOK,GR,NE
KENSINGTON,CR,NW
47,ST,NE
CHAPMAN,RD,SE
SIENNA PARK,GD,SW
SADDLECREST,LD,NE
ELMWOOD,DR,SE
HIDDEN SPRING,CO,NW
ROCKCLIFF,BA,NW
97,ST,SW
RICHARD,WY,SW
WOODACRES,CO,SW
UPLANDS,PL,NW
CHAPALINA,HE,SE
MARWOOD,PL,NE
57,AV,NW
WOODFIELD,WY,SW
VISTA,RD,NE
OAKMOUNT,PL,SW
COUNTRY VILLAGE,BA,NE
SANTANA,HL,NW
TUSCANY GLEN,GA,NW
SCIMITAR,RI,NW
SUNMEADOWS,CO,SE
TARARIDGE,PL,NE
DALHURST,GA,NW
66,ST,SE
COPPERSTONE,CO,SE
PARKLAND,RI,SE
CASTLEBROOK,PL,NE
CITADEL VISTA,GR,NW
CHEROKEE,PL,NW
SORREL,ME,SW
FALLINGWORTH,CO,NE
SPYHILL,CR,NW
SOMERSET,GA,SW
SADDLESTONE,WY,NE
62,ST,SE
LADBROOKE,PL,SW
DEER SIDE,RD,SE
150,AV,SW
CANFIELD,GR,SW
LEGACY,PR,SE
MILLICAN,RD,SE
SILVERGROVE,GR,NW
COVILLE,BA,NE
BROOKMERE,GD,SW
MIDLAWN,CL,SE
MONUMENT,PL,SE
GLENWOOD,CR,SW
5A,AV,SE
CHAPALINA,CO,SE
MILLPARK,RI,SW
VARSITY GREEN,BA,NW
VARCOURT,PL,NW
EDGEPARK,ME,NW
SILVERADO SADDLE,CO,SW
LINCOLN,WY,SW
TWELVE MI COULEE,RD,NW
PINEPOINT,PL,NE
CORAL REEF,BA,NE
DISCOVERY RIDGE,LD,SW
SIGNATURE,PA,SW
WOODFORD,PL,SW
MCKINNON,RD,NE
MCHUGH,CO,NE
SANDPIPER,GA,NW
25,ST,NW
34,ST,NE
VALLEY POINTE,LI,NW
LANCASTER,WY,SW
COUNTRY HILLS,GA,NW
SCANDIA,PT,NW
CRANARCH,RD,SE
BISHOP,WY,SW
MALVERN,CO,NE
RIVER ROCK,RD,SE
HILLGREEN,PL,SW
VARSCLIFF,PL,NW
TIMBERLINE,GA,SW
VERULUM,PL,NW
SUNMOUNT,GD,SE
BAYCREST,CO,SW
EDGEMONT ESTATES,RD,NW
THISTLE,PL,NE
CYMRIE,ST,NW
SIENNA PARK,VW,SW
25,ST,NE
SUNVALE,RD,SE
FONDA,PL,SE
FALMEAD,PL,NE
BRIGHTONSTONE,LI,SE
MAUNSELL,DR,NE
CROWFOOT,GA,NW
210,AV,SW
PASADENA,GR,NE
CHRISTIE KNOLL,GR,SW
SUNLAKE,LI,SE
OAKFERN,RD,SW
FALMEAD,BA,NE
HIGHWOOD,PL,NW
KILDONAN,CR,SW
NUTANA,PL,NW
SILVERADO SKIES,LN,SW
SADDLEMONT,MR,NE
ASPENSHIRE,PL,SW
SOUTHPORT,RD,SW
DOVERCREST,RD,SE
115,AV,SE
COVEPARK,TC,NE
SPRING VALLEY,HT,SW
SADDLEBROOK,BA,NE
KENMARE,CR,SW
HARVEY,PL,SW
ABBOTSFORD,PL,NE
HAWKHILL,ME,NW
ANDERSON,RD,SW
CROWFOOT,CI,NW
SPRING VALLEY,PL,SW
HAWKTREE,BA,NW
ABBOTT,AV,NE
MEADOWLARK,CR,SW
ELVEDEN,HT,SW
COLBORNE,CR,SW
WILLOUGHBY,CR,SE
HEMLOCK,CR,SW
MAHOGANY,CO,SE
TOURNAMENT,LN,SW
WILLOW PARK,PL,SE
LEWIS MACKENZIE,PL,SW
TOUCHWOOD,DR,NW
PARK,RD,SE
DOVELY,WY,SE
CRANARCH,MR,SE
KENT,PL,SW
MARTHA'S,WY,NE
CRANRIDGE,BA,SE
ELVEDEN,ME,SW
HUNTBOURNE,GR,NE
FALLINGWORTH,BA,NE
ASCOT,MR,SW
MARTINRIDGE,PL,NE
EVANSCREST,CM,NW
WHITAKER,BA,NE
SHAMROCK,AV,SW
50,ST,NE
EDGEBROOK,GR,NW
FALMEAD,CL,NE
NORFOLK,RD,NW
STRAVANAN,BA,SW
SILVERADO SKIES,BA,SW
CARDIFF,PL,NW
OAKLAWN,PL,SW
WILLOW BEND,PL,SE
PANORAMA HILLS,CO,NW
COACH GATE,PL,SW
SUN CANYON,CR,SE
HAWKSLOW,CO,NW
RIVERFRONT,AV,SE
BLOW,ST,NW
EVANSVIEW,PA,NW
SCENIC COVE,DR,NW
TARALAKE,CA,NE
HUXLEY,PL,SW
ALLSTON,AV,SE
BRANIFF,GR,SW
NORTHMOUNT,PL,NW
CENTURY,GA,SE
MCKENNA,ME,SE
EDGEBROOK,CO,NW
CORAL REEF,LI,NE
LAKE ADAMS,PL,SE
FLANDERS,AV,SW
GLENPARK,CR,SW
TUSCANY RAVINE,LD,NW
ROXBORO GLEN,RD,SW
MCKENZIE LAKE,PL,SE
SIMCOE,BV,SW
VARTOWN,PL,NW
DEL MONICA,BA,NE
49,AV,NE
RIDEAU,PL,SW
LYSANDER,CR,SE
COUNCIL,WY,SW
YPRES,ME,SW
63,AV,NE
SPRINGFIELD,PL,SW
189,AV,SE
SHAWFIELD,CO,SW
PINEMEADOW,PL,NE
ROCKYLEDGE,VW,NW
ALANWOOD,ST,SE
CEDARBROOK,PL,SW
ELMONT,BA,SW
MT MCKENZIE,WY,SE
MT RELIANT,PL,SE
PEACEKEEPERS,WY,SW
PANORAMA HILLS,CV,NW
EVANSBOROUGH,RD,NW
RUNDLEWOOD,PL,NE
WOODBROOK,GR,SW
NICKLE,RD,NW
SOMERVALE,CO,SW
SILVERSTONE,PL,NW
MONTREAL,AV,SW
7A,AV,SE
WATERFRONT,ME,SW
PATTERSON,PT,SW
EVERGLADE,PL,SW
ROCKYSPRING,GR,NW
LAKE SIMCOE,GR,SE
SYDNEY,DR,SW
RIVERGREEN,PL,SE
SHANNON,CO,SW
52,AV,SE
MONTCALM,CR,SW
BEDWOOD,RI,NE
SOMERVALE,LI,SW
WIMBLEDON,DR,SW
HAWKSTONE,PL,NW
KINGSTON,ST,NW
GLENVIEW,CR,SW
BAYCREST,PL,SW
AUBURN SPRINGS,PL,SE
FALTON,ME,NE
CORTINA,DR,SW
EVERGREEN,AV,SW
DOUGLASVIEW,CO,SE
59,ST,NW
STRATHRIDGE,BA,SW
CHRISTIE BRIAR,RO,SW
SCENIC PARK,GA,NW
GROVE HILL,PL,SW
UNIVERSITY,PL,NW
MILLPARK,RD,SW
SUNCASTLE,GA,SE
PANORAMA HILLS,GD,NW
SIMCOE,BA,SW
HIDDEN VALLEY,GA,NW
EDGERIDGE,ME,NW
SANDERLING,HL,NW
ANAHEIM,CO,NE
ASPEN RIDGE,TC,SW
CONRAD,CR,NW
PUMPMEADOW,CR,SW
FALBURY,BA,NE
SUNCASTLE,BA,SE
ASPEN DALE,GA,SW
MCKENZIE TOWNE,CL,SE
SUNVISTA,RD,SE
HUNTERDALE,PL,NW
DEER RUN,PL,SE
ARBOUR BUTTE,PL,NW
CRANBROOK,VI,SE
MCKENZIE TOWNE,LN,SE
WILKES,RD,SE
ASPEN HILLS,GR,SW
QUEEN CHARLOTTE,PL,SE
77,AV,SE
HUNTFORD,GR,NE
EDGEVALLEY,ME,NW
PARKRIDGE,CR,SE
HIGHFIELD,BV,SE
SKYVIEW POINT,TC,NE
ROYAL RIDGE,HL,NW
BUILDERS,RD,SE
CEDARDALE,HL,SW
GLASGOW,DR,SW
HAWKWOOD,PL,NW
79,ST,NW
ROCKY RIDGE,GD,NW
MCKERNAN,PL,SE
ELMONT,PL,SW
CHAPARRAL RIDGE,PT,SE
APPLEVILLAGE,CO,SE
RADCLIFFE,CL,SE
GRIER,PL,NE
HIDDEN CREEK,VW,NW
MAITLAND,GR,NE
CHAPALA,GA,SE
SHANNON,MR,SW
NORSEMAN,PL,NW
TEMPLESIDE,BA,NE
CHAPARRAL VALLEY,PA,SE
MARTHA'S HAVEN,HE,NE
COUGARTOWN,PL,SW
EDGERIDGE,BA,NW
63,ST,NW
COPPERFIELD,HE,SE
SCENIC ACRES,GA,NW
ELMONT,ME,SW
AUTUMN,CO,SE
PINEBROOK,PL,NE
MIDPARK,WY,SE
WEST CEDAR,PL,SW
GLENCOE,RD,SW
CHAPALA,LD,SE
WOODACRES,WY,SW
ROCKY RIDGE,LN,NW
DEER RIDGE,CO,SE
CANTREE,RD,SW
CORTINA,BA,SW
HUTTON,CR,SW
WASCANA,RD,SE
ARBOUR LAKE,GR,NW
EVERHOLLOW,GR,SW
MANILLA,RD,SE
SADDLESTONE,LN,NE
EVERGREEN,HE,SW
EDGEFORD,PL,NW
MT NORQUAY,GA,SE
MAPLEDALE,PL,SE
DOVERCROFT,RD,SE
CHAPARRAL,PT,SE
TEMPLEGREEN,PL,NE
LAKE PLACID,HL,SE
SLOPES,RD,SW
PANORAMA HILLS,CM,NW
AMIENS,RD,SW
BRETON,PL,NW
WENTWORTH,HT,SW
SAGE BLUFF,BV,NW
CHRISTIE CAIRN,SQ,SW
SHARON,AV,SW
ROCKYSPRING,HL,NW
OAKSIDE,BA,SW
CRESTHAVEN,WY,SW
HARDISTY,PL,SW
HARVEST HILLS,BV,NW
DEERFIELD,CO,SE
HAWKVILLE,ME,NW
APPLETREE,WY,SE
CARRAGANA,CR,NW
MADEIRA,WY,NE
KELOWNA,CR,SW
COPPERPOND,MR,SE
CASTLEFALL,CR,NE
EDENWOLD,PL,NW
EVANSMEADE,MR,NW
EDGEMONT,CO,NW
CITADEL CREST,LI,NW
TEMPLERIDGE,WY,NE
AUBURN SPRINGS,MR,SE
NIVEN,PL,NW
HIGHFIELD,PL,SE
39,ST,NW
VALLEY POINTE,VW,NW
EDGEPARK,CR,NW
SPRING WILLOW,ME,SW
SIGNATURE,MR,SW
VARSLEA,PL,NW
RIVERWOOD,CO,SE
MARTHA'S MEADOW,GR,NE
MCKENZIE TOWNE,SQ,SE
COPPERSTONE,LD,SE
WHITEWOOD,BA,NE
ASPEN,CR,SE
WEST COACH,CO,SW
HAWKHILL,RD,NW
ASCOT,PA,SW
SIGNAL HILL,BA,SW
WALDEN,WY,SE
OAKRIDGE,PL,SW
HEATHER,PL,SW
CANTREE,BA,SW
COACH GROVE,PL,SW
HIDDEN RANCH,CO,NW
ARBOUR CREST,MT,NW
VARDELL,RD,NW
PARKGLEN,PL,SE
COMMERCE,ST,NW
LAKE SUNDANCE,PL,SE
CHAPARRAL RIDGE,BA,SE
SPRUCE,PL,SW
HAMPTONS,LD,NW
HIDDEN,ME,NW
COUGARSTONE,BA,SW
ROYAL RIDGE,ME,NW
ASPEN SUMMIT,BA,SW
CHAPARRAL,GR,SE
COVENTRY,GD,NE
EVANSMEADE,PT,NW
YPRES,LN,SW
SHAWMEADOWS,BA,SW
LAKE MORAINE,RD,SE
BAYLOR,CR,SW
HARROW,CR,SW
SKYVIEW SPRINGS,CV,NE
ABERDARE,PL,NE
1A,ST,SE
SUNVISTA,CL,SE
SCHUBERT,GA,NW
HUBALTA,RD,SE
27A,AV,SE
RUTLAND,RD,SW
HUNTERQUAY,WY,NW
THORNDALE,PL,NW
TARAGLEN,PL,NE
LAKE MEAD,RD,SE
AUBURN CREST,PL,SE
SPRUCE MEADOWS,TR,SW
FALMERE,CO,NE
92,AV,SW
EDGERIDGE,GD,NW
SIGNATURE,LI,SW
DEERFIELD,MR,SE
OGMOOR,PL,SE
VALLEY STREAM,MR,NW
